"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4111","testSuccessfulLogin","Surefire suite","Tue Jan 27 23:46:52 UTC 2026","passed","Tue Jan 27 23:46:56 UTC 2026","tests.login.LoginTest","Surefire test","tests.login.LoginTest","testSuccessfulLogin"
"","8634","navigateFromDashboardToPim_shouldDisplayPimPage","Surefire suite","Tue Jan 27 23:46:41 UTC 2026","passed","Tue Jan 27 23:46:50 UTC 2026","tests.dashboard.DashboardToPinNavigationTest","Surefire test","tests.dashboard.DashboardToPinNavigationTest","navigateFromDashboardToPim_shouldDisplayPimPage"
