"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4238","navigateFromDashboardToPim_shouldDisplayPimPage","Surefire suite","Wed Jan 28 00:34:15 UTC 2026","passed","Wed Jan 28 00:34:19 UTC 2026","tests.dashboard.DashboardToPinNavigationTest","Surefire test","tests.dashboard.DashboardToPinNavigationTest","navigateFromDashboardToPim_shouldDisplayPimPage"
"","2621","testSuccessfulLogin","Surefire suite","Wed Jan 28 00:34:21 UTC 2026","passed","Wed Jan 28 00:34:24 UTC 2026","tests.login.LoginTest","Surefire test","tests.login.LoginTest","testSuccessfulLogin"
